feature,PD,LGD,Sum,Eng,App,description
fltgrossmonthly__income_sum,1,1,2,0,0,Total income
linkf053__tu,1,1,2,0,0,Number of inquiries all time STOREFRONT LENDER
br01s__tu,1,1,2,0,0,Number of bank revolving trades
g042c__tu,1,1,2,0,0,Number of real estate trades 60 or more days past due ever
subjectstabilityprimaryfactor__ln,1,1,2,0,0,Indicates the primary factor behind the value returned for the SubjectStabilityIndex attribute
jt01s__tu,1,1,2,0,0,Number of joint trades
g102s__tu,1,1,2,0,0,Months since most recent inquiry
subjectrecordtimeoldest__ln,1,1,2,0,0,Time (in months) since the oldest recorded event on file for subject
fi09s__tu,1,1,2,0,0,Number of finance installment trades opened in past 24 months
co05s__tu,1,1,2,0,0,Total balance of trades that charged-off
g041c__tu,1,1,2,0,0,Number of real estate trades 30 or more days past due ever
in20s__tu,1,1,2,0,0,Months since oldest installment trade opened
linkt002__tu,1,1,2,0,0,Number of months at current address
in36s__tu,1,1,2,0,0,Months since most recent installment delinquency
aut222__tu,1,1,2,0,0,Average total Payment Ratio for Auto accounts over the past 3 months
bitdebtor__app,1,1,2,0,1,Debtor or Codebtor
cv24__tu,1,1,2,0,0,Total payment amount of bankcard trades verified in past 3 months
st35s__tu,1,1,2,0,0,Average balance of open student loan trades verified in past 12 months
assetpropindex__ln,1,1,2,0,0,Index indicating level of historical property ownership based on real property ownership records on subject's file
g238s__tu,1,1,2,0,0,Number of credit inquiries in past 12 months
at30s__tu,1,1,2,0,0,Percentage of open trades > 50% of credit line verified in past 12 months
jt75s__tu,1,1,2,0,0,Number of joint trades 30 days past due or worse in the last 12 months
g211s__tu,1,1,2,0,0,Highest balance of charged-off trades
rev233__tu,1,1,2,0,0,Aggregate Excess Payment for Revolving accounts over the past 6 months
assetproppurchasetimenewest__ln,1,1,2,0,0,Time (in months) since most recently recorded real property purchase based on real property ownership records on subject's file
mt47s__tu,1,1,2,0,0,Number of mortgage trade delinquencies (30 or more days past due) in the past 12 months
aut201__tu,1,1,2,0,0,Total Payment Ratio for Auto accounts over the past 1 month
lm11s__tu,1,1,2,0,0,Number of trades that are 60 or more days past due since the most recent loan modification on a mortgage trade
g043c__tu,1,1,2,0,0,Number of real estate trades 90 or more days past due ever
addrinputlastsaleprice__ln,1,1,2,0,0,Indicates last recorded sale price on file for the input address
rvdex02__tu,1,1,2,0,0,Most recent quarter year-over-year revolving spend index
addrpreviouslengthofres__ln,1,1,2,0,0,Length of residency in previous residence
st101s__tu,1,1,2,0,0,Total balance of all student loan trades verified in past 12 months
bkc122__tu,1,1,2,0,0,Number of months in the past 12 months where percentage of Bankcard trades utilized less than 100% was more than 25%
g244f__tu,1,1,2,0,0,Number of finance inquiries (includes duplicates) in past 12 months
aut202__tu,1,1,2,0,0,Total Payment Ratio for Auto accounts over the past 3 months
linkf156__tu,1,1,2,0,0,Number of distinct email addresses within last 18 months
paymnt10__tu,1,1,2,0,0,Number of payments in last 3 months
ret83__tu,1,1,2,0,0,Months since a Retail trade last exceeded 75% utilization
linkf094__tu,1,1,2,0,0,Number of trades within last 9 months
cv03__tu,1,1,2,0,0,Months since most recent repossession occurrence
cv21__tu,1,1,2,0,0,Total payment amount of trades verified in past 3 months
s114s__tu,1,1,2,0,0,Number of deduped inquiries in past 6 months (excluding auto and mortgage inquiries)
assetproppurchasetimeoldest__ln,1,1,2,0,0,Time (in months) since earliest recorded real property purchase based on real property ownership records on subject's file
rev253__tu,1,1,2,0,0,Average Aggregate Excess Payment for Revolving accounts over the past 6 months
linka007__tu,1,1,2,0,0,Number of check orders in the last year
educationinstitutionrating__ln,1,1,2,0,0,"Indicates the education program rating for the most recently attended program on subject's file, based on student directories and other college attendance sources. Rating is based on various institution statistics and national ratings (Tier 1 = highest rating, Tier 6 =lowest rating)"
linkf082__tu,1,1,2,0,0,Number of open trades with balance > 0 (excluding collection)
linkf125__tu,1,1,2,0,0,Number of trade segments (excluding new trades)
linka047__tu,1,1,2,0,0,Number of checking account closures for cause in the last 3 years
assetindex__ln,1,1,2,0,0,Modeled risk index indicating the type and relative value of real property and personal property associated with the subject
addrinputphoneservice__ln,1,1,2,0,0,Indicates if phone service was found on file for the input address
rev102__tu,1,1,2,0,0,Number of months in the past 12 months where percentage of Revolving trades utilized less than 50% was more than 25%
trv13__tu,1,1,2,0,0,Number of revolving high credit increases YOY
addrcurrenttimenewest__ln,1,1,2,0,0,Time (in months) since the subject was most recently reported at the current address on subject's file
linkf076__tu,1,1,2,0,0,"Total dollar amount of return, collection, and closed delinquent trade segments within last 12 months"
trv09__tu,1,1,2,0,0,Number of non-mortgage balance decreases YOY
addrcurrentownershipindex__ln,1,1,2,0,0,"Index indicating subject's ownership level at the current address on subject's file, based on the address property record"
linka041__tu,1,1,2,0,0,Average number of days between checking account closures for cause
rev112__tu,1,1,2,0,0,Number of months in the past 12 months where percentage of Revolving trades utilized less than 75% was more than 25%
linkf204__tu,1,1,2,0,0,Total Bad ACH amount in last 3 Months
rvlr26__tu,1,1,2,0,0,Bankcard Revolver/Transactor/Inactive pattern for bankcard with fifth highest balance   - month 1 to 8
linkt008__tu,1,1,2,0,0,Number of public record bankruptcies in the last 24 months
fltdowncash__app,1,1,2,0,1,Cash Down
aggs908__tu,1,1,2,0,0,Age of top-of-wallet bankcard (highest annual spend).
subjectactivityindex06month__ln,1,1,2,0,0,A risk index summarizing derogatory and non-derogatory source activity for the subject as reported on file within the past six months
rev84__tu,1,1,2,0,0,Months since a Revolving trade last exceeded 90% utilization
fi01s__tu,1,1,2,0,0,Number of finance installment trades
g990s__tu,1,1,2,0,0,Number of deduped inquiries in past 12 months
addrcurrenttimeoldest__ln,1,1,2,0,0,Time (in months) since the subject was first reported at the current address on subject's file
assetpropevercount__ln,1,1,2,0,0,Total number of real property ever owned based on real property ownership records on subject's file
linka004__tu,1,1,2,0,0,Number of bank account closures identified as fraudulent
alertregulatorycondition__ln,1,1,2,0,0,"Indicates subject has an alert on their file that is associated with state or federal regulations, consumer identity conditions, or bankruptcies on file"
jt41s__tu,1,1,2,0,0,Number of joint installment or joint mortgage trades
g206s__tu,1,1,2,0,0,Total monthly obligation for joint account verified in past 12 months
fi20s__tu,1,1,2,0,0,Months since oldest finance installment trade opened
g221a__tu,1,1,2,0,0,Number of trades verified in the past 12 months that are currently 120 days past due
se57s__tu,1,1,2,0,0,Total past due amount of open secured installment trades verified in past 12 months
addrinputavmvalue12month__ln,1,1,2,0,0,Indicates input address AVM value on file 12 months ago
bookvalue__app,1,1,2,0,1,Book value
rp01s__tu,1,1,2,0,0,Number of repossession trades
linkf007__tu,1,1,2,0,0,Number of NSF within last 9 months
linka005__tu,1,1,2,0,0,Average number of checks ordered in the last 3 years
ENG-dealership_age,1,1,2,1,0,Dealership age
g206b__tu,1,1,2,0,0,Total monthly obligation for joint account verified in past 12 months and with a current balance > 0  (ATTR14)
assetpropsaletimeoldest__ln,1,1,2,0,0,Time (in months) since subject's earliest recorded real property sale based on real property ownership records on subject's file
re21s__tu,1,1,2,0,0,Months since most recent revolving trade opened
linkf036__tu,1,1,2,0,0,Number of inquiries within last 1 month ONLINE LENDER
addrcurrenttimelastsale__ln,1,1,2,0,0,Time (in months) since the last recorded property sale for the current address on the subject's file
of57s__tu,1,1,2,0,0,Total past due amount of open credit union trades verified in past 12 months
rev82__tu,1,1,2,0,0,Months since a Revolving trade last exceeded 50% utilization
g099a__tu,1,1,2,0,0,Number of tradeline bankruptcies verified in past 24 months
at33a__tu,1,1,2,0,0,Total balance of open trades verified in past 12 months
jt03s__tu,1,1,2,0,0,Number of open joint trades currently satisfactory
of35s__tu,1,1,2,0,0,Average balance of open credit union trades verified in past 12 months
g235s__tu,1,1,2,0,0,Number of trades opened since most recent delinquency (delinquency search limited to 24 months)
per253__tu,1,1,2,0,0,Average Aggregate Excess Payment for Personal Loan accounts over the past 6 months
rev234__tu,1,1,2,0,0,Aggregate Excess Payment for Revolving accounts over the past 12 months
atap01__tu,1,1,2,0,0,Total scheduled monthly payment for all trades verified in past 12 months
cv11__tu,1,1,2,0,0,Number of trades 60 or more days past due ever
aut225__tu,1,1,2,0,0,Average total Payment Ratio for Auto accounts over the past 24 months
rets903__tu,1,1,2,0,0,Aggregate Retail Monthly Spend over last 12 Months
criminalfelonytimenewest__ln,1,1,2,0,0,Time (in months) since most recently recorded felony criminal conviction on subject's file
lienjudgmentcount12month__ln,1,1,2,0,0,"Total lien and judgment records in the last 12 months on subject's file, excluding evictions"
paymnt08__tu,1,1,2,0,0,Ratio of actual to minimum payment for revolving trades last month
au25s__tu,1,1,2,0,0,Number of currently open and satisfactory auto trades 12 months or older
linkf003__tu,1,1,2,0,0,Number of NSF within last 18 months
std233__tu,1,1,2,0,0,Aggregate Excess Payment for Student Loan accounts over the past 6 months
addronfilecount__ln,1,1,2,0,0,Total number of addresses found on file in subject's address history
linka081__tu,1,1,2,0,0,Number of days since last (most recent) paid non-sufficient funds
rvlr78__tu,1,1,2,0,0,Revolver/Transactor tag for the top five Bankcards in the past 3 months
bc106s__tu,1,1,2,0,0,Number of credit card trades 30 or more days past due in past 24 months
s208s__tu,1,1,2,0,0,Number of tax liens
of25s__tu,1,1,2,0,0,Number of currently open and satisfactory credit union trades 12 months or older
paymnt03__tu,1,1,2,0,0,Total amount of prepayments on installment loans last month
linkf058__tu,1,1,2,0,0,Number of trades opened within last 12 months STOREFRONT LENDER
au12s__tu,1,1,2,0,0,Number of open auto trades verified in past 12 months
se24s__tu,1,1,2,0,0,Number of currently open and satisfactory secured installment trades 6 months or older
g020s__tu,1,1,2,0,0,Number of trades with maximum delinquency of 30 days past due in past 24 months
paymnt05__tu,1,1,2,0,0,Total amount of prepayments on installment loans last 12 months
rvlr01__tu,1,1,2,0,0,Bankcard revolver trade utilization last month
g308s__tu,1,1,2,0,0,Worst rating on mortgage trades in past 12 months
linka028__tu,1,1,2,0,0,"Number of utility inquiries in last 3 years (cable/dish/satellite, gas, electric, mobile, and landline)"
g220a__tu,1,1,2,0,0,Number of trades verified in the past 12 months that are currently 90 days past due
linkt003__tu,1,1,2,0,0,Number of non-military non-corroborated addresses in past 12 months
cv13__tu,1,1,2,0,0,Percentage of trades ever delinquent
at25s__tu,1,1,2,0,0,Number of currently open and satisfactory trades 12 months or older
bc31s__tu,1,1,2,0,0,Percentage of open credit card trades > 75% of credit line verified in past 12 months
ret322__tu,1,1,2,0,0,Min Total Open-to-Buy for Retail accounts over the past 6 months
linkf047__tu,1,1,2,0,0,Number of trade segments opened within last 12 months ONLINE LENDER
linkf083__tu,1,1,2,0,0,Number of inquiries within last 1 month
aut205__tu,1,1,2,0,0,Total Payment Ratio for Auto accounts over the past 24 months
bc01s__tu,1,1,2,0,0,Number of credit card trades
linka076__tu,1,1,2,0,0,Total amount of paid non-sufficient funds in the last 6 months
